Lake,Year,Fish.Status,Yr.mass,Ref.Mean,Ref.UCI,Ref.LCI,Lake.Order
Bighorn,1966,Present,3.300325313,67.24789262,85.10780467,49.38798056,1
Bighorn,1968,Present,0.251617921,67.24789262,85.10780467,49.38798056,1
Bighorn,1971,Present,0.046644269,67.24789262,85.10780467,49.38798056,1
Bighorn,1972,Present,0.233039501,67.24789262,85.10780467,49.38798056,1
Bighorn,1977,Present,0.728321059,67.24789262,85.10780467,49.38798056,1
Bighorn,1991,Present,0.085502537,67.24789262,85.10780467,49.38798056,1
Bighorn,1992,Present,0.073526734,67.24789262,85.10780467,49.38798056,1
Bighorn,1994,Present,2.241316776,67.24789262,85.10780467,49.38798056,1
Bighorn,1995,Present,0.759949308,67.24789262,85.10780467,49.38798056,1
Bighorn,1996,Decline,4.974847841,67.24789262,85.10780467,49.38798056,1
Bighorn,1997,Decline,2.204869222,67.24789262,85.10780467,49.38798056,1
Bighorn,1998,Decline,20.30913784,67.24789262,85.10780467,49.38798056,1
Bighorn,1999,Decline,5.955912832,67.24789262,85.10780467,49.38798056,1
Bighorn,2000,Decline,18.21861292,67.24789262,85.10780467,49.38798056,1
Bighorn,2001,Decline,26.43229049,67.24789262,85.10780467,49.38798056,1
Bighorn,2002,Absent,27.42244703,67.24789262,85.10780467,49.38798056,1
Bighorn,2003,Absent,6.669714134,67.24789262,85.10780467,49.38798056,1
Bighorn,2004,Absent,7.702819287,67.24789262,85.10780467,49.38798056,1
Bighorn,2005,Absent,14.39091603,67.24789262,85.10780467,49.38798056,1
Bighorn,2006,Absent,38.33690356,67.24789262,85.10780467,49.38798056,1
Bighorn,2009,Absent,6.493365438,67.24789262,85.10780467,49.38798056,1
Bighorn,2013,Absent,4.771662757,67.24789262,85.10780467,49.38798056,1
Bighorn,2022,Absent,315.1646199,67.24789262,85.10780467,49.38798056,1
Pipit,1966,Present,17.0866555,67.24789262,85.10780467,49.38798056,2
Pipit,1967,Present,5.513514246,67.24789262,85.10780467,49.38798056,2
Pipit,1968,Present,0.055485596,67.24789262,85.10780467,49.38798056,2
Pipit,1969,Present,0.155359668,67.24789262,85.10780467,49.38798056,2
Pipit,1971,Present,0.033840348,67.24789262,85.10780467,49.38798056,2
Pipit,1972,Present,0.288525097,67.24789262,85.10780467,49.38798056,2
Pipit,1977,Decline,0.111187782,67.24789262,85.10780467,49.38798056,2
Pipit,1991,Decline,10.41940531,67.24789262,85.10780467,49.38798056,2
Pipit,1992,Absent,30.09316473,67.24789262,85.10780467,49.38798056,2
Pipit,1993,Absent,14.88479505,67.24789262,85.10780467,49.38798056,2
Pipit,1994,Absent,67.21210253,67.24789262,85.10780467,49.38798056,2
Pipit,1995,Absent,35.65896192,67.24789262,85.10780467,49.38798056,2
Pipit,1996,Absent,40.41410576,67.24789262,85.10780467,49.38798056,2
Pipit,1997,Absent,14.96590868,67.24789262,85.10780467,49.38798056,2
Pipit,1998,Absent,19.54068865,67.24789262,85.10780467,49.38798056,2
Pipit,1999,Absent,22.71175111,67.24789262,85.10780467,49.38798056,2
Pipit,2000,Absent,59.60620195,67.24789262,85.10780467,49.38798056,2
Pipit,2001,Absent,19.28493007,67.24789262,85.10780467,49.38798056,2
Pipit,2002,Absent,34.94196347,67.24789262,85.10780467,49.38798056,2
Pipit,2003,Absent,26.43467153,67.24789262,85.10780467,49.38798056,2
Pipit,2004,Absent,36.354773,67.24789262,85.10780467,49.38798056,2
Pipit,2005,Absent,15.88017778,67.24789262,85.10780467,49.38798056,2
Pipit,2006,Absent,24.08386397,67.24789262,85.10780467,49.38798056,2
Pipit,2007,Absent,10.16261767,67.24789262,85.10780467,49.38798056,2
Pipit,2008,Absent,34.8362678,67.24789262,85.10780467,49.38798056,2
Pipit,2009,Absent,4.678180048,67.24789262,85.10780467,49.38798056,2
Pipit,2013,Absent,4.263800154,67.24789262,85.10780467,49.38798056,2
Pipit,2022,Absent,212.3468103,67.24789262,85.10780467,49.38798056,2
Snowflake,1966,Present,2.529080472,67.24789262,85.10780467,49.38798056,3
Snowflake,1967,Present,18.23640439,67.24789262,85.10780467,49.38798056,3
Snowflake,1968,Present,19.75003026,67.24789262,85.10780467,49.38798056,3
Snowflake,1969,Present,24.73981845,67.24789262,85.10780467,49.38798056,3
Snowflake,1970,Present,21.02032243,67.24789262,85.10780467,49.38798056,3
Snowflake,1971,Present,86.64595646,67.24789262,85.10780467,49.38798056,3
Snowflake,1972,Present,165.259415,67.24789262,85.10780467,49.38798056,3
Snowflake,1973,Present,202.6367887,67.24789262,85.10780467,49.38798056,3
Snowflake,1974,Present,93.38563533,67.24789262,85.10780467,49.38798056,3
Snowflake,1975,Present,173.0847809,67.24789262,85.10780467,49.38798056,3
Snowflake,1977,Present,22.85262622,67.24789262,85.10780467,49.38798056,3
Snowflake,1979,Decline,1.68303428,67.24789262,85.10780467,49.38798056,3
Snowflake,1991,Decline,30.36268548,67.24789262,85.10780467,49.38798056,3
Snowflake,1992,Absent,17.36925671,67.24789262,85.10780467,49.38798056,3
Snowflake,1993,Absent,10.30758172,67.24789262,85.10780467,49.38798056,3
Snowflake,1994,Absent,14.23417386,67.24789262,85.10780467,49.38798056,3
Snowflake,1995,Absent,11.55600325,67.24789262,85.10780467,49.38798056,3
Snowflake,1996,Absent,22.54793789,67.24789262,85.10780467,49.38798056,3
Snowflake,1997,Absent,23.23842643,67.24789262,85.10780467,49.38798056,3
Snowflake,1998,Absent,23.02448694,67.24789262,85.10780467,49.38798056,3
Snowflake,1999,Absent,51.77341665,67.24789262,85.10780467,49.38798056,3
Snowflake,2000,Absent,50.10749663,67.24789262,85.10780467,49.38798056,3
Snowflake,2001,Absent,56.52868127,67.24789262,85.10780467,49.38798056,3
Snowflake,2002,Absent,141.0075444,67.24789262,85.10780467,49.38798056,3
Snowflake,2003,Absent,42.5570383,67.24789262,85.10780467,49.38798056,3
Snowflake,2004,Absent,59.77225483,67.24789262,85.10780467,49.38798056,3
Snowflake,2005,Absent,79.40877933,67.24789262,85.10780467,49.38798056,3
Snowflake,2006,Absent,66.35635243,67.24789262,85.10780467,49.38798056,3
Snowflake,2007,Absent,46.45867633,67.24789262,85.10780467,49.38798056,3
Snowflake,2008,Absent,58.6706741,67.24789262,85.10780467,49.38798056,3
Snowflake,2009,Absent,87.76624525,67.24789262,85.10780467,49.38798056,3
Snowflake,2013,Absent,62.55330089,67.24789262,85.10780467,49.38798056,3
Snowflake,2022,Absent,682.4158741,67.24789262,85.10780467,49.38798056,3
Harrison,1966,Present,239.3439423,67.24789262,85.10780467,49.38798056,4
Harrison,1967,Present,258.5902653,67.24789262,85.10780467,49.38798056,4
Harrison,1972,Present,121.2687716,67.24789262,85.10780467,49.38798056,4
Harrison,1977,Present,150.7109455,67.24789262,85.10780467,49.38798056,4
Harrison,1996,Present,245.6991921,67.24789262,85.10780467,49.38798056,4
Harrison,1997,Present,69.79707713,67.24789262,85.10780467,49.38798056,4
Harrison,1998,Present,56.15031925,67.24789262,85.10780467,49.38798056,4
Harrison,1999,Present,55.35100395,67.24789262,85.10780467,49.38798056,4
Harrison,2001,Present,56.23859723,67.24789262,85.10780467,49.38798056,4
Harrison,2002,Present,100.4637223,67.24789262,85.10780467,49.38798056,4
Harrison,2003,Present,60.34006707,67.24789262,85.10780467,49.38798056,4
Harrison,2004,Present,88.2809498,67.24789262,85.10780467,49.38798056,4
Harrison,2005,Present,42.64771459,67.24789262,85.10780467,49.38798056,4
Harrison,2006,Present,60.5486896,67.24789262,85.10780467,49.38798056,4
Harrison,2009,Present,40.57849058,67.24789262,85.10780467,49.38798056,4
Harrison,2015,Present,9.011205209,67.24789262,85.10780467,49.38798056,4
Harrison,2022,Present,198.8954902,67.24789262,85.10780467,49.38798056,4
